Open,High,Low,Close,Adj Close,Volume
170.5,170.5,168.85000610351562,169.4499969482422,169.4499969482422,0
169.5,171.75,169.0,171.64999389648438,171.64999389648438,1670432
171.5500030517578,171.64999389648438,169.8000030517578,170.0,170.0,1591222
170.0,170.89999389648438,169.75,170.8000030517578,170.8000030517578,818560
170.8000030517578,171.1999969482422,170.35000610351562,170.4499969482422,170.4499969482422,791924
170.5500030517578,171.35000610351562,170.5500030517578,171.35000610351562,171.35000610351562,769254
171.35000610351562,172.39999389648438,171.3000030517578,171.9499969482422,171.9499969482422,1110945
172.0,172.5500030517578,171.64999389648438,171.8000030517578,171.8000030517578,1149226
171.8000030517578,172.25,171.5,172.14999389648438,172.14999389648438,803489
172.10000610351562,172.4499969482422,171.4499969482422,171.5,171.5,695831
171.5500030517578,172.0500030517578,171.1999969482422,171.39999389648438,171.39999389648438,629276
171.4499969482422,171.8000030517578,171.35000610351562,171.6999969482422,171.6999969482422,435833
171.64999389648438,171.89999389648438,171.4499969482422,171.64999389648438,171.64999389648438,324940
171.75,172.14999389648438,171.64999389648438,171.9499969482422,171.9499969482422,413915
171.89999389648438,171.9499969482422,171.0,171.39999389648438,171.39999389648438,581040
171.4499969482422,171.4499969482422,171.0,171.1999969482422,171.1999969482422,427844
171.25,171.5,170.9499969482422,171.0,171.0,474583
171.0,171.0,170.39999389648438,170.5500030517578,170.5500030517578,737748
170.5,170.89999389648438,170.3000030517578,170.39999389648438,170.39999389648438,445214
170.35000610351562,170.8000030517578,170.25,170.25,170.25,480851
170.25,170.39999389648438,170.0,170.3000030517578,170.3000030517578,600875
170.35000610351562,170.6999969482422,170.25,170.39999389648438,170.39999389648438,309365
170.4499969482422,170.4499969482422,170.0,170.0,170.0,545790
170.0500030517578,170.4499969482422,169.9499969482422,170.10000610351562,170.10000610351562,555846
170.10000610351562,170.35000610351562,170.0,170.14999389648438,170.14999389648438,379338
170.10000610351562,170.14999389648438,169.6999969482422,170.0,170.0,495308
169.9499969482422,170.39999389648438,169.89999389648438,170.14999389648438,170.14999389648438,426036
170.1999969482422,170.8000030517578,170.14999389648438,170.64999389648438,170.64999389648438,477314
170.6999969482422,170.6999969482422,170.35000610351562,170.5500030517578,170.5500030517578,166463
170.5,170.5500030517578,170.1999969482422,170.3000030517578,170.3000030517578,184440
170.25,170.5,170.0500030517578,170.10000610351562,170.10000610351562,225649
170.10000610351562,170.10000610351562,169.8000030517578,170.0,170.0,508303
169.89999389648438,170.1999969482422,169.85000610351562,170.14999389648438,170.14999389648438,240983
170.10000610351562,170.1999969482422,169.89999389648438,170.0500030517578,170.0500030517578,243019
170.0,170.0,169.5,169.60000610351562,169.60000610351562,610254
169.60000610351562,169.9499969482422,169.60000610351562,169.75,169.75,270936
169.6999969482422,169.8000030517578,169.5,169.8000030517578,169.8000030517578,359562
169.8000030517578,170.10000610351562,169.6999969482422,169.85000610351562,169.85000610351562,371762
169.8000030517578,169.9499969482422,169.39999389648438,169.5,169.5,585201
169.4499969482422,169.6999969482422,169.39999389648438,169.6999969482422,169.6999969482422,333597
169.64999389648438,170.39999389648438,169.64999389648438,170.0500030517578,170.0500030517578,837492
170.0,170.35000610351562,169.9499969482422,170.25,170.25,437007
170.14999389648438,170.5,170.14999389648438,170.4499969482422,170.4499969482422,480686
170.39999389648438,170.4499969482422,169.9499969482422,170.10000610351562,170.10000610351562,385814
170.10000610351562,170.1999969482422,169.8000030517578,169.85000610351562,169.85000610351562,353373
169.85000610351562,170.0,169.64999389648438,170.0,170.0,296189
170.0,170.60000610351562,169.75,170.5,170.5,564735
170.5,171.0500030517578,170.1999969482422,170.8000030517578,170.8000030517578,940198
170.85000610351562,171.5,170.75,171.1999969482422,171.1999969482422,1219219
171.14999389648438,171.25,170.4499969482422,170.5500030517578,170.5500030517578,565009
170.5500030517578,170.60000610351562,170.10000610351562,170.5,170.5,372608
170.39999389648438,170.5,170.1999969482422,170.3000030517578,170.3000030517578,412676
170.35000610351562,170.5,170.1999969482422,170.35000610351562,170.35000610351562,309489
170.25,170.4499969482422,170.0,170.1999969482422,170.1999969482422,465910
170.1999969482422,170.39999389648438,169.85000610351562,170.25,170.25,530491
170.1999969482422,170.39999389648438,170.10000610351562,170.25,170.25,289737
170.35000610351562,170.39999389648438,170.0500030517578,170.25,170.25,219250
170.14999389648438,170.5,170.10000610351562,170.10000610351562,170.10000610351562,308891
170.1999969482422,170.3000030517578,170.0,170.25,170.25,244138
170.14999389648438,170.35000610351562,170.0500030517578,170.0500030517578,170.0500030517578,249050
170.10000610351562,170.35000610351562,169.9499969482422,170.3000030517578,170.3000030517578,489109
170.3000030517578,170.5,170.10000610351562,170.14999389648438,170.14999389648438,309287
170.1999969482422,170.39999389648438,170.14999389648438,170.25,170.25,172608
170.3000030517578,170.89999389648438,170.25,170.5,170.5,641426
170.5,170.85000610351562,170.5,170.6999969482422,170.6999969482422,395518
170.60000610351562,171.4499969482422,170.60000610351562,170.85000610351562,170.85000610351562,1075501
170.85000610351562,170.85000610351562,170.3000030517578,170.5,170.5,467460
170.5,170.9499969482422,170.3000030517578,170.8000030517578,170.8000030517578,377275
170.8000030517578,170.9499969482422,170.64999389648438,170.9499969482422,170.9499969482422,435085
171.0,171.0,170.39999389648438,170.5500030517578,170.5500030517578,516837
170.5500030517578,170.75,170.39999389648438,170.6999969482422,170.6999969482422,475377
170.6999969482422,170.89999389648438,170.60000610351562,170.85000610351562,170.85000610351562,804420
170.75,170.9499969482422,170.64999389648438,170.64999389648438,170.64999389648438,786611
